csa.hood.name,mapla.region.slug,date,cases,population,rate.cases,new.cases,new.cases.14day,new.cases.14dayavg,rate.new.cases.14dayavg,deaths,rate.deaths,total.homes,crowded,pct.crowded,area,density
Long Beach,harbor,2021-01-07,37293,467354,7979.604325628967,597,9574,683.8571428571429,146.3253000631519,170,36.374996255515086,163267.42756878614,18922.969526395595,11.590168233907628,75.2602877048325,6209.835415896117
East Los Angeles,eastside,2021-01-15,20886,125269,16672.91987642593,0,3512,250.85714285714286,200.2547660292194,156,124.5320071206763,31100.170387239483,5744.5325190741,18.471064458962267,10.862173249235843,11532.590866087752
Pomona,pomona-valley,2021-01-15,20019,157869,12680.766965015297,0,3206,229,145.0569776206855,189,119.71951428082777,39045.8274522334,6791.633058944351,17.394004691673842,35.30435780298389,4471.657603318791
Palmdale,antelope-valley,2021-01-15,19226,159810,12030.536261810901,0,3585,256.07142857142856,160.23492182681218,106,66.32876540892309,43768.15646146281,3786.1943347508845,8.650568451711168,196.15196246163063,814.7254709789636
Florence-Firestone,south-la,2021-01-15,18862,112150,16818.54658938921,0,3267,233.35714285714286,208.075918731291,121,107.89121711992867,25292.70541888272,7707.528565711983,30.473325957284864,8.773187070798995,12783.267824447088
Lancaster,antelope-valley,2021-01-15,16878,161570,10446.246209073466,0,2907,207.64285714285714,128.51572516114203,106,65.6062387819521,47383.41693235319,1965.758935472739,4.148622160953798,140.16878951194343,1152.6817101194488
North Hollywood,san-fernando-valley,2021-01-15,15994,151421,10562.603601878207,0,3066,219,144.6298730030841,100,66.04103790095165,50066.010770582354,6849.162914575484,13.680264932551598,16.56190472483922,9142.7286001049
South Gate,southeast,2021-01-15,15229,98155,15515.256482094646,0,2942,210.14285714285714,214.09287060552913,91,92.71050888900209,23880.665871357513,5644.241176417893,23.635191777410196,10.710570865145787,9164.310776320508
Santa Clarita,northwest-county,2021-01-15,15072,220424,6837.730918593257,0,2942,210.14285714285714,95.33574254294321,85,38.56204406053787,65638.00099077588,4266.805794225402,6.500511486973859,104.40391790361352,2111.2617651331543
Boyle Heights,eastside,2021-01-15,14584,86884,16785.599189724227,0,2728,194.85714285714286,224.27275776569087,102,117.39790985682058,21160.836791444686,6074.177282254144,28.704806629905725,7.543487296769946,11517.749892308157
Downey,southeast,2021-01-15,14383,114263,12587.626790824677,0,2583,184.5,161.46959208142619,106,92.76843772699824,33196.889059801,3904.8618422079053,11.762734258543544,18.304643205112285,6242.295942052976
Glendale,verdugos,2021-01-15,14354,206493,6951.325226520997,0,2871,205.07142857142858,99.3115643491201,225,108.96253141752989,73832.52540960423,5178.391971436352,7.013700185261087,44.835445207522874,4605.574875954457
El Monte,san-gabriel-valley,2021-01-15,13960,117414,11889.553204898904,0,2437,174.07142857142858,148.25440626452433,211,179.70599758120835,28018.914819455425,5918.690904330588,21.123911980419887,14.054812632769032,8354.0067781656
Pacoima,san-fernando-valley,2021-01-15,13757,76979,17871.107704698683,0,2427,173.35714285714286,225.20056490360082,86,111.71878044661531,16164.0602797688,3973.653043293676,24.58326048355044,8.6987626913762,8849.41947850993
Compton,southeast,2021-01-15,13450,99904,13462.924407431134,0,2491,177.92857142857142,178.09954699368535,92,92.08840486867393,24490.002379018963,5054.281355663061,20.638141546254634,14.695464454565917,6798.288023415251
Norwalk,southeast,2021-01-15,12844,107622,11934.362862611733,0,2661,190.07142857142858,176.6101991892258,116,107.78465369534109,27252.55300739717,4709.159367633626,17.279699873826196,14.200749743592146,7578.613942447838
Sylmar,san-fernando-valley,2021-01-15,12679,82398,15387.509405568095,0,2447,174.78571428571428,212.12373393251568,112,135.9256292628462,20243.915291202356,2427.318565338783,11.99036120445363,17.404104148784025,4734.4005353907805
Van Nuys,san-fernando-valley,2021-01-15,11631,93194,12480.417194239972,0,2012,143.71428571428572,154.2098050456958,136,145.9321415541773,30073.65172967227,6307.171688922791,20.97241713649227,10.807874027350184,8622.787401496833
Lynwood,southeast,2021-01-15,10820,72047,15017.97437783669,0,1919,137.07142857142858,190.252791332642,124,172.10987272197315,15691.202724280982,3966.023884966665,25.275461382125506,7.240056128490662,9951.165946971694
Panorama City,san-fernando-valley,2021-01-15,10785,75250,14332.225913621263,0,2075,148.21428571428572,196.96250593260564,111,147.50830564784053,19254.859803981304,4270.374441808074,22.178164293489658,5.551649124734403,13554.53097075908
Baldwin Park,san-gabriel-valley,2021-01-15,10633,76769,13850.642837603722,0,2028,144.85714285714286,188.69223626352155,121,157.61570425562402,17740.02150361542,3498.996454779909,19.72374415705648,9.906363150996947,7749.463534685198
Inglewood,south-bay,2021-01-15,10402,113582,9158.141254776285,0,2074,148.14285714285714,130.42811109406168,121,106.53096441337537,37119.29130699955,4266.420284455403,11.49380856754366,13.256497681212567,8568.02473257859
West Covina,san-gabriel-valley,2021-01-15,10205,108235,9428.558229777798,0,1782,127.28571428571429,117.60125124563616,81,74.83715988358664,30019.192701008324,2429.144389087661,8.091971070914466,23.470314545897512,4611.570066022779
Huntington Park,southeast,2021-01-15,9288,59484,15614.282832358282,0,1699,121.35714285714286,204.01644619921802,71,119.35982785286801,14989.467622286722,5088.423542878805,33.94665955522802,4.395090077918262,13534.193599093343
Vernon Central,south-la,2021-01-15,9218,51998,17727.604907881072,0,1716,122.57142857142857,235.7233519970548,55,105.77329897303743,11021.959185154386,3535.433471892361,32.07627076549404,3.33040680066583,15613.107680900821
Whittier,san-gabriel-valley,2021-01-15,9173,91216,10056.34976319944,0,1634,116.71428571428571,127.95374245119903,87,95.37800385897212,28476.49661872332,2246.2185746526025,7.8879737375268,28.36915740553548,3215.3228485454297
Pico Rivera,southeast,2021-01-15,9114,64284,14177.711405637483,0,1599,114.21428571428571,177.67140457078852,92,143.11492750917802,17032.481870466727,2444.8673028157837,14.354145927817088,12.98195813628725,4951.79535514854
Reseda,san-fernando-valley,2021-01-15,8999,76617,11745.435086208021,0,1710,122.14285714285714,159.42004665133996,122,159.23359045642613,23364.342586163613,3609.6639032723447,15.449456324142377,9.079247005325671,8438.695406684968
Bellflower,southeast,2021-01-15,8562,77735,11014.34360326751,0,1628,116.28571428571429,149.59247994560275,73,93.90879269312407,23513.39345414089,3507.2139639600464,14.915813707622874,8.994608623737092,8642.399380764004
Montebello,southeast,2021-01-15,8350,64375,12970.873786407767,0,1429,102.07142857142857,158.55755894590845,70,108.7378640776699,19273.341234140655,2474.774703195838,12.840403089071243,12.212171548291535,5271.380257428988
West Vernon,south-la,2021-01-15,8236,53644,15353.068376705689,0,1594,113.85714285714286,212.24581100802112,59,109.98434121243756,14043.633809412982,2669.4278484943898,19.008099219342796,3.679210805213601,14580.300732968095
Paramount,southeast,2021-01-15,8106,56023,14469.057351444942,0,1448,103.42857142857143,184.61805227954846,37,66.0443032326009,14363.71065771348,2753.511957945924,19.169920806412627,7.015049877189807,7986.115705629526
Hawthorne,south-bay,2021-01-15,8044,91301,8810.418286765753,0,1708,122,133.62394716377696,70,76.66947788085564,29885.27521603888,5158.040838422279,17.259472436292146,9.028129752978394,10112.947254649243
Pasadena,verdugos,2021-01-07,7895,138101,5716.830435695614,203,2003,143.07142857142858,103.59912569165219,105,76.03131041773774,54388.47225247334,3314.723414174101,6.094533045140577,33.86915771345061,4077.485515536022
North Hills,san-fernando-valley,2021-01-15,7355,61575,11944.782785221276,0,1390,99.28571428571429,161.2435473580419,62,100.69021518473407,16986.893147371073,3642.3362001457635,21.44203868562898,7.677572965993325,8020.112641421627
Sun Valley,san-fernando-valley,2021-01-15,7332,52483,13970.237981822685,0,1482,105.85714285714286,201.69796478315428,44,83.83667092201284,14261.80583639205,2170.5899262360485,15.219600877592399,20.186986542955836,2599.8432152476826
Canoga Park,san-fernando-valley,2021-01-15,7206,65289,11037.081284749345,0,1418,101.28571428571429,155.13442430687297,82,125.59542955168558,20825.62916700559,3802.2452804142235,18.257528979908024,6.745730662698424,9678.566083437894
Covina,san-gabriel-valley,2021-01-15,6988,65851,10611.835811149413,0,1252,89.42857142857143,135.80442427384767,78,118.44922628357959,20335.670276469744,1670.7900005806637,8.216055718182659,15.929415958096993,4133.92431795515
