csa.hood.name,mapla.region.slug,date,cases,population,rate.cases,new.cases,new.cases.14day,new.cases.14dayavg,rate.new.cases.14dayavg,deaths,rate.deaths
Long Beach,harbor,2020-12-21,26281,467354,5623.360450536425,1232,7911,565.0714285714286,120.90865351990752,170,36.374996255515086
East Los Angeles,eastside,2020-12-21,14107,125269,11261.365541355004,211,3973,283.7857142857143,226.54105507804346,156,124.5320071206763
Pomona,pomona-valley,2020-12-21,13785,157869,8731.92330349847,195,3874,276.7142857142857,175.28095174751581,189,119.71951428082777
Palmdale,antelope-valley,2020-12-21,12820,159810,8022.026156060322,275,3810,272.14285714285717,170.2915068787042,106,66.32876540892309
Florence-Firestone,south-la,2020-12-21,12675,112150,11301.827909050378,237,3510,250.71428571428572,223.5526399592383,121,107.89121711992867
Lancaster,antelope-valley,2020-12-21,11492,161570,7112.706566813145,196,3886,277.57142857142856,171.79639077268587,106,65.6062387819521
North Hollywood,san-fernando-valley,2020-12-21,10480,151421,6921.100772019734,212,3087,220.5,145.62048857159837,100,66.04103790095165
South Gate,southeast,2020-12-21,9879,98155,10064.693596862107,156,2713,193.78571428571428,197.4282657895311,91,92.71050888900209
Santa Clarita,northwest-county,2020-12-21,9733,220424,4415.580880484884,193,2514,179.57142857142858,81.46636871276657,85,38.56204406053787
Downey,southeast,2020-12-21,9559,114263,8365.787700305435,184,2598,185.57142857142858,162.40727844659128,106,92.76843772699824
Boyle Heights,eastside,2020-12-21,9489,86884,10921.458496385985,196,2699,192.78571428571428,221.88862654310836,102,117.39790985682058
El Monte,san-gabriel-valley,2020-12-21,9461,117414,8057.812526615226,105,2411,172.21428571428572,146.6727014787723,211,179.70599758120835
Glendale,verdugos,2020-12-21,9321,206493,4513.954468190205,178,2279,162.78571428571428,78.83352669858749,225,108.96253141752989
Pacoima,san-fernando-valley,2020-12-21,9252,76979,12018.862287117267,196,2534,181,235.12906117252757,86,111.71878044661531
Compton,southeast,2020-12-21,8830,99904,8838.484945547725,207,2435,173.92857142857142,174.095703303743,92,92.08840486867393
Sylmar,san-fernando-valley,2020-12-21,8383,82398,10173.790625986068,167,2246,160.42857142857142,194.69959395685746,112,135.9256292628462
Norwalk,southeast,2020-12-21,8071,107622,7499.396034268087,143,2260,161.42857142857142,149.9958850686397,116,107.78465369534109
Van Nuys,san-fernando-valley,2020-12-21,7863,93194,8437.238448827178,127,2177,155.5,166.85623537996008,136,145.9321415541773
Lynwood,southeast,2020-12-21,7171,72047,9953.224978139271,133,1885,134.64285714285714,186.88197585306415,124,172.10987272197315
Panorama City,san-fernando-valley,2020-12-21,7079,75250,9407.308970099668,130,1879,134.21428571428572,178.3578547698149,111,147.50830564784053
Baldwin Park,san-gabriel-valley,2020-12-21,6751,76769,8793.914210162957,128,1793,128.07142857142858,166.82701164718648,121,157.61570425562402
West Covina,san-gabriel-valley,2020-12-21,6732,108235,6219.799510324756,116,1845,131.78571428571428,121.75887123916873,81,74.83715988358664
Inglewood,south-bay,2020-12-21,6602,113582,5812.540719480199,131,1868,133.42857142857142,117.4733421040054,121,106.53096441337537
Huntington Park,southeast,2020-12-21,6191,59484,10407.840763902897,134,1700,121.42857142857143,204.1365265089292,71,119.35982785286801
Pico Rivera,southeast,2020-12-21,6102,64284,9492.253126750047,126,1804,128.85714285714286,200.4497897721717,92,143.11492750917802
Whittier,san-gabriel-valley,2020-12-21,6075,91216,6660.015786704088,109,1732,123.71428571428571,135.62783471571404,87,95.37800385897212
Vernon Central,south-la,2020-12-21,6072,51998,11677.372206623331,92,1632,116.57142857142857,224.18444665454166,55,105.77329897303743
Reseda,san-fernando-valley,2020-12-21,5894,76617,7692.809689755538,93,1615,115.35714285714286,150.5633773929322,122,159.23359045642613
Pasadena,verdugos,2020-12-21,5728,138101,4147.68901021716,109,1531,109.35714285714286,79.18635119017448,105,76.03131041773774
Montebello,southeast,2020-12-21,5568,64375,8649.320388349513,102,1657,118.35714285714286,183.85575589459086,70,108.7378640776699
Bellflower,southeast,2020-12-21,5432,77735,6987.843313822602,122,1633,116.64285714285714,150.05191630907203,73,93.90879269312407
West Vernon,south-la,2020-12-21,5313,53644,9904.183133248825,103,1636,116.85714285714286,217.8382351374671,59,109.98434121243756
Paramount,southeast,2020-12-21,5276,56023,9417.560644735198,124,1459,104.21428571428571,186.02053748332955,37,66.0443032326009
Hawthorne,south-bay,2020-12-21,5048,91301,5528.964633465132,93,1524,108.85714285714286,119.2288615208408,70,76.66947788085564
North Hills,san-fernando-valley,2020-12-21,4841,61575,7861.956963053188,97,1429,102.07142857142857,165.76764688823155,62,100.69021518473407
Canoga Park,san-fernando-valley,2020-12-21,4684,65289,7174.256000245065,60,1118,79.85714285714286,122.31331902333143,82,125.59542955168558
Azusa,san-gabriel-valley,2020-12-21,4649,65963,7047.890484059245,69,1264,90.28571428571429,136.87326878055015,45,68.22006276245774
Sun Valley,san-fernando-valley,2020-12-21,4646,52483,8852.39029781072,101,1461,104.35714285714286,198.83989645626747,44,83.83667092201284
Bell Gardens,southeast,2020-12-21,4565,43071,10598.778760651017,81,1284,91.71428571428571,212.93744216360358,36,83.58292122309675
South Whittier,southeast,2020-12-21,4559,59222,7698.152713518624,76,1260,90,151.97055148424573,52,87.80520752423087
Covina,san-gabriel-valley,2020-12-21,4506,65851,6842.720687612944,100,1341,95.78571428571429,145.4582531559343,78,118.44922628357959
Carson,harbor,2020-12-21,4357,93846,4642.712529036932,89,1271,90.78571428571429,96.73903446680124,67,71.39355966157322
Westlake,central-la,2020-12-21,4337,59355,7306.88231825457,60,1004,71.71428571428571,120.82265304403288,160,269.5644848791172
Central,south-la,2020-12-21,4217,38992,10815.038982355354,85,1044,74.57142857142857,191.24802157219062,50,128.23143208863357
Burbank,san-fernando-valley,2020-12-21,4213,107180,3930.7706661690618,88,1096,78.28571428571429,73.0413456668355,105,97.96603844000748
Melrose,central-la,2020-12-21,4193,77696,5396.674217462933,74,1015,72.5,93.31239703459637,92,118.41021416803953
Wilmington,harbor,2020-12-21,4170,56487,7382.229539540071,91,1299,92.78571428571429,164.26029756530582,31,54.879883867084466
South Park,south-la,2020-12-21,4153,37961,10940.175443218039,81,1155,82.5,217.32831063459867,34,89.56560680698611
Watts,south-la,2020-12-21,4083,42674,9567.886769461498,68,1119,79.92857142857143,187.30039702997476,45,105.45062567371232
Vermont Vista,south-la,2020-12-21,4031,41186,9787.306366240955,99,1108,79.14285714285714,192.15961040852994,34,82.55232360510854
Wholesale District,central-la,2020-12-21,3969,36129,10985.634808602508,71,772,55.142857142857146,152.62768729512896,42,116.25010379473554
Northridge,san-fernando-valley,2020-12-21,3708,69797,5312.549249967764,61,938,67,95.99266444116509,59,84.53085376162299
Pico-Union,central-la,2020-12-21,3703,41842,8849.959370966972,59,1055,75.35714285714286,180.09928506558688,105,250.94402753214473
San Pedro,harbor,2020-12-21,3675,78038,4709.244214357109,79,865,61.785714285714285,79.17388232106703,35,44.84994489863912
La Puente,san-gabriel-valley,2020-12-21,3639,40697,8941.69103373713,39,1032,73.71428571428571,181.1295321873497,33,81.08705801410423
Harvard Park,south-la,2020-12-21,3634,37935,9579.543956768157,98,1108,79.14285714285714,208.62753958839366,29,76.44655331488072
Arleta,san-fernando-valley,2020-12-21,3614,34370,10514.983997672389,58,917,65.5,190.57317427989526,33,96.01396566773349
Bell,southeast,2020-12-21,3500,36332,9633.38104150611,80,966,69,189.91522624683475,52,143.12451833094792
Winnetka,san-fernando-valley,2020-12-21,3339,51786,6447.688564476886,64,881,62.92857142857143,121.51657094305688,33,63.72378635152358
Lakewood,harbor,2020-12-21,3322,80362,4133.794579527637,67,1101,78.64285714285714,97.86075152790764,19,23.64301535551629
Alhambra,san-gabriel-valley,2020-12-21,3263,86724,3762.510954291776,53,1039,74.21428571428571,85.57525680813352,40,46.12333379456667
Granada Hills,san-fernando-valley,2020-12-21,3248,58191,5581.619150727775,66,806,57.57142857142857,98.9352796333257,90,154.66309223075734
El Sereno,eastside,2020-12-21,3246,41808,7764.06429391504,70,998,71.28571428571429,170.50735334317423,46,110.02678913126674
Century Palms/Cove,south-la,2020-12-21,3234,33766,9577.681691642481,69,879,62.785714285714285,185.9435949941192,29,85.88520997453058
Athens-Westmont,south-la,2020-12-21,3186,42442,7506.715046416286,52,828,59.142857142857146,139.3498354056292,34,80.10932566797041
Exposition Park,south-la,2020-12-21,3173,44917,7064.140525858806,60,923,65.92857142857143,146.77866159487817,31,69.0161854086426
Torrance,south-bay,2020-12-21,3165,149268,2120.3472947986174,63,838,59.857142857142854,40.100452111063895,79,52.92494037570008
Willowbrook,south-la,2020-12-21,3159,34913,9048.205539483859,56,863,61.642857142857146,176.56132999987727,30,85.92787786784292
Gardena,south-bay,2020-12-21,3033,61310,4946.990702984831,78,1007,71.92857142857143,117.31947713027472,71,115.80492578698417
Maywood,southeast,2020-12-21,2909,28049,10371.136225890406,51,785,56.07142857142857,199.9052678221276,48,171.1290955114264
Highland Park,northeast-la,2020-12-21,2861,48391,5912.256411316153,53,833,59.5,122.95674815564878,27,55.79549916306751
Hollywood,central-la,2020-12-21,2852,68254,4178.5096844141,45,678,48.42857142857143,70.95345537048588,23,33.697658745275
Sherman Oaks,san-fernando-valley,2020-12-21,2789,87254,3196.415064065831,38,687,49.07142857142857,56.239746683737785,33,37.82061567378
Lake Balboa,san-fernando-valley,2020-12-21,2748,42206,6510.922617637303,35,779,55.642857142857146,131.83636720574597,22,52.125290243093396
Castaic,northwest-county,2020-12-21,2717,27191,9992.276856312752,21,225,16.071428571428573,59.10569148405198,5,18.388437350593946
Temple-Beaudry,central-la,2020-12-21,2670,39482,6762.575350792767,39,688,49.142857142857146,124.46901662240299,37,93.71359100349527
Hacienda Heights,san-gabriel-valley,2020-12-21,2667,55926,4768.801630726317,66,836,59.714285714285715,106.77374694111096,29,51.854235954654364
Lincoln Heights,eastside,2020-12-21,2666,32597,8178.666748473785,70,877,62.642857142857146,192.17368820092997,64,196.33708623492961
San Fernando,san-fernando-valley,2020-12-21,2655,24612,10787.420770355924,52,708,50.57142857142857,205.47468134011282,27,109.70258410531449
Wilshire Center,central-la,2020-12-21,2595,50170,5172.413793103448,47,766,54.714285714285715,109.0577749935932,42,83.7153677496512
Glendora,san-gabriel-valley,2020-12-21,2557,53424,4786.238394728961,26,596,42.57142857142857,79.68596243528859,89,166.5917939502845
Koreatown,central-la,2020-12-21,2549,51693,4931.035149826862,39,707,50.5,97.69214400402375,40,77.3799160427911
Cudahy,southeast,2020-12-21,2496,24347,10251.776399556413,33,665,47.5,195.09590503963528,21,86.25292643857559
West Whittier/Los Nietos,southeast,2020-12-21,2371,26925,8805.94243268338,37,664,47.42857142857143,176.1506831144714,27,100.27855153203343
Woodland Hills,san-fernando-valley,2020-12-21,2365,68055,3475.1304092278306,33,590,42.142857142857146,61.92470375851465,36,52.89839100727353
Harbor Gateway,harbor,2020-12-21,2364,43600,5422.018348623853,58,723,51.642857142857146,118.44692005242466,21,48.1651376146789
Monterey Park,san-gabriel-valley,2020-12-21,2323,62262,3731.0076772349107,54,736,52.57142857142857,84.4358173065892,72,115.64035848511132
Rosemead,san-gabriel-valley,2020-12-21,2296,55350,4148.148148148148,48,695,49.642857142857146,89.68899212801652,42,75.88075880758808
Mission Hills,san-fernando-valley,2020-12-21,2286,24124,9476.04045763555,57,675,48.214285714285715,199.8602458725158,64,265.2959708174432
Santa Monica,westside,2020-12-21,2254,92446,2438.1801267767128,32,560,40,43.26850269346429,56,60.575903770850005
La Mirada,southeast,2020-12-21,2148,49599,4330.73247444505,40,648,46.285714285714285,93.319853798895707,36,72.58210851025223
South El Monte,san-gabriel-valley,2020-12-21,2065,22680,9104.938271604939,29,569,40.642857142857146,179.2013101536911,18,79.36507936507937
West Adams,south-la,2020-12-21,2018,27630,7303.655446977922,43,606,43.285714285714285,156.66201333953776,52,188.20123054650742
Downtown,central-la,2020-12-21,2009,27507,7303.595448431309,27,483,34.5,125.42261969680445,21,76.34420329370705
Green Meadows,south-la,2020-12-21,1996,21505,9281.562427342478,47,557,39.785714285714285,185.00680904772975,16,74.4013020227854
University Park,south-la,2020-12-21,1980,27456,7211.538461538461,21,392,28,101.98135198135198,27,98.33916083916085
Valley Glen,san-fernando-valley,2020-12-21,1976,30016,6583.155650319829,33,638,45.57142857142857,151.8237892171794,24,79.95735607675905
Valinda,san-gabriel-valley,2020-12-21,1934,23371,8275.212870651661,31,537,38.357142857142854,164.12281398803154,16,68.46091309742843
San Jose Hills,san-gabriel-valley,2020-12-21,1905,20221,9420.899065328123,36,553,39.5,195.34147668265663,22,108.79778448147964
Chatsworth,san-fernando-valley,2020-12-21,1849,37061,4989.07207037047,26,510,36.42857142857143,98.29354693227766,39,105.2319149510267
Eagle Rock,northeast-la,2020-12-21,1831,39589,4625.022102099068,37,622,44.42857142857143,112.22453567549428,31,78.30457955492687
Monrovia,san-gabriel-valley,2020-12-21,1824,42681,4273.564349476348,39,445,31.785714285714285,74.47274966780134,42,98.40444225767905
Hyde Park,south-la,2020-12-21,1765,28541,6184.086051645002,25,518,37,129.63806453873374,19,66.5708980063768
Rowland Heights,san-gabriel-valley,2020-12-21,1760,51022,3449.492375837874,36,531,37.92857142857143,74.33768066436328,24,47.03853239778919
Encino,san-fernando-valley,2020-12-21,1715,45172,3796.5996635083684,17,423,30.214285714285715,66.8871994029171,25,55.344018418489334
Tarzana,san-fernando-valley,2020-12-21,1679,30876,5437.880554475968,9,375,26.785714285714285,86.75254011437454,42,136.0279828993393
Lennox,south-bay,2020-12-21,1657,22542,7350.723094667731,33,470,33.57142857142857,148.92834962039115,8,35.48930884571023
Lawndale,south-bay,2020-12-21,1656,33614,4926.518712441245,35,508,36.285714285714285,107.9482188543889,16,47.59921461295888
Silverlake,central-la,2020-12-21,1648,44083,3738.4025588095183,29,519,37.07142857142857,84.09461373188887,37,83.93258172084478
Altadena,verdugos,2020-12-21,1647,43620,3775.7909215955983,17,459,32.785714285714285,75.16211436431519,25,57.31315910132966
Duarte,san-gabriel-valley,2020-12-21,1647,26444,6228.255937074573,19,373,26.642857142857142,100.75199343086197,46,173.95250340341855
Glassell Park,northeast-la,2020-12-21,1620,31604,5125.933426148588,28,446,31.857142857142858,100.80098360062922,17,53.790659410201236
Walnut Park,southeast,2020-12-21,1584,16143,9812.302545995168,24,480,34.285714285714285,212.38750099556643,21,130.08734435978442
San Gabriel,san-gabriel-valley,2020-12-21,1568,40954,3828.685842652732,25,429,30.642857142857142,74.82262329163731,107,261.26874053816476
Diamond Bar,san-gabriel-valley,2020-12-21,1562,57515,2715.8132661044947,35,478,34.142857142857146,59.36339588430348,17,29.557506737372858
East Hollywood,central-la,2020-12-21,1550,29287,5292.450575340595,39,423,30.214285714285715,103.16620245940423,49,167.3097278656059
